hour,machine_id,avg_temperature,min_temperature,max_temperature,avg_pressure,pressure_min,pressure_max,avg_vibration,vibration_min,vibration_max,total_checks,defect_count,defect_rate
2025-03-04 10:00:00,11,86.42,86.42,86.42,4.79,4.79,4.79,47.15,47.15,47.15,0,0,0
2025-03-04 10:00:00,13,82.82,82.82,82.82,1.91,1.91,1.91,36.54,36.54,36.54,0,0,0
2025-03-04 10:00:00,15,77.02,77.02,77.02,1.05,1.05,1.05,35.74,35.74,35.74,0,0,0
2025-03-04 10:00:00,19,78.69,78.69,78.69,1.71,1.71,1.71,40.31,40.31,40.31,0,0,0
2025-03-04 10:00:00,26,90.33,90.33,90.33,3.26,3.26,3.26,60.88,60.88,60.88,0,0,0
2025-03-04 10:00:00,27,72.37,72.37,72.37,4.66,4.66,4.66,54.45,54.45,54.45,0,0,0
2025-03-04 10:00:00,29,64.04,64.04,64.04,1.99,1.99,1.99,62.85,62.85,62.85,0,0,0
2025-03-04 10:00:00,31,69.1,69.1,69.1,2.92,2.92,2.92,64.95,64.95,64.95,0,0,0
2025-03-04 10:00:00,33,82.7,80.45,84.95,2.695,2.3,3.09,39.760000000000005,28.92,50.6,0,0,0
2025-03-04 10:00:00,34,73.35,73.35,73.35,1.88,1.88,1.88,80.3,80.3,80.3,0,0,0
2025-03-04 10:00:00,37,79.125,75.96,82.29,2.485,2.26,2.71,47.315,39.89,54.74,0,0,0
2025-03-04 10:00:00,41,75.72,75.72,75.72,1.19,1.19,1.19,49.92,49.92,49.92,0,0,0
2025-03-04 10:00:00,42,70.73,70.73,70.73,1.07,1.07,1.07,61.94,61.94,61.94,0,0,0
2025-03-04 10:00:00,46,75.12,75.12,75.12,1.03,1.03,1.03,54.15,54.15,54.15,0,0,0
2025-03-04 10:00:00,5,79.2,79.2,79.2,2.97,2.97,2.97,70.35,70.35,70.35,0,0,0
2025-03-04 10:00:00,6,72.38,72.38,72.38,1.66,1.66,1.66,72.65,72.65,72.65,0,0,0
2025-03-04 10:00:00,7,58.58,49.44,67.72,1.3050000000000002,1.07,1.54,53.355,41.64,65.07,0,0,0
2025-03-04 10:00:00,9,65.61,65.61,65.61,4.07,4.07,4.07,59.31,59.31,59.31,0,0,0
2025-03-04 11:00:00,1,69.085,62.79,75.38,3.0900000000000003,1.28,4.9,41.825,39.45,44.2,0,0,0
2025-03-04 11:00:00,10,78.51,69.98,87.04,1.875,1.87,1.88,47.364999999999995,41.54,53.19,0,0,0
2025-03-04 11:00:00,11,70.8,70.8,70.8,4.41,4.41,4.41,56.28,56.28,56.28,0,0,0
2025-03-04 11:00:00,12,75.555,75.2,75.91,3.715,2.89,4.54,66.23500000000001,66.18,66.29,0,0,0
2025-03-04 11:00:00,13,67.92,67.92,67.92,3.08,3.08,3.08,51.55,51.55,51.55,0,0,0
2025-03-04 11:00:00,15,90.25,90.25,90.25,3.21,3.21,3.21,52.76,52.76,52.76,0,0,0
2025-03-04 11:00:00,17,71.56,71.56,71.56,3.04,3.04,3.04,89.53,89.53,89.53,0,0,0
2025-03-04 11:00:00,18,66.75,61.5,72.0,2.9400000000000004,2.41,3.47,59.754999999999995,39.93,79.58,0,0,0
2025-03-04 11:00:00,19,68.7,57.7,86.05,2.9466666666666668,1.74,4.45,53.77333333333333,17.46,72.2,0,0,0
2025-03-04 11:00:00,2,78.7025,74.27,85.52,2.4575,1.0,3.42,46.7325,27.59,63.88,0,0,0
2025-03-04 11:00:00,23,56.045,55.59,56.5,2.135,1.72,2.55,60.555,57.76,63.35,0,0,0
2025-03-04 11:00:00,24,65.14,64.66,65.7,2.9299999999999997,1.48,3.81,43.52333333333333,31.15,54.92,0,0,0
2025-03-04 11:00:00,26,80.95,80.95,80.95,4.23,4.23,4.23,22.13,22.13,22.13,0,0,0
2025-03-04 11:00:00,28,78.2975,62.07,87.99,3.29,2.88,3.61,55.254999999999995,39.59,77.02,0,0,0
2025-03-04 11:00:00,3,80.485,80.47,80.5,3.295,1.8,4.79,44.655,44.59,44.72,0,0,0
2025-03-04 11:00:00,30,73.44666666666667,59.68,93.18,3.52,1.49,4.63,45.73666666666667,37.7,53.15,0,0,0
2025-03-04 11:00:00,31,72.735,72.5,72.97,2.955,2.73,3.18,43.769999999999996,40.21,47.33,0,0,0
2025-03-04 11:00:00,32,79.7,79.7,79.7,3.55,3.55,3.55,46.66,46.66,46.66,0,0,0
2025-03-04 11:00:00,33,82.93,82.53,83.33,2.965,1.39,4.54,25.604999999999997,20.63,30.58,0,0,0
2025-03-04 11:00:00,37,74.41,63.41,85.41,1.67,1.62,1.72,25.925,25.75,26.1,0,0,0
2025-03-04 11:00:00,38,65.69,65.69,65.69,1.19,1.19,1.19,18.96,18.96,18.96,0,0,0
2025-03-04 11:00:00,39,60.52,60.52,60.52,1.72,1.72,1.72,18.97,18.97,18.97,0,0,0
2025-03-04 11:00:00,4,73.84,71.41,76.27,4.28,4.11,4.45,33.685,19.09,48.28,0,0,0
2025-03-04 11:00:00,41,70.41,70.35,70.47,4.12,3.78,4.46,47.165,33.94,60.39,0,0,0
2025-03-04 11:00:00,42,84.0,84.0,84.0,4.95,4.95,4.95,71.82,71.82,71.82,0,0,0
2025-03-04 11:00:00,43,79.69,78.38,81.0,4.345,3.72,4.97,61.05,53.13,68.97,0,0,0
2025-03-04 11:00:00,45,93.7,93.7,93.7,2.51,2.51,2.51,54.03,54.03,54.03,0,0,0
2025-03-04 11:00:00,46,67.1,67.1,67.1,1.67,1.67,1.67,55.91,55.91,55.91,0,0,0
2025-03-04 11:00:00,47,64.555,58.95,70.16,1.49,1.26,1.72,44.35,21.28,67.42,0,0,0
2025-03-04 11:00:00,49,70.36,70.36,70.36,1.36,1.36,1.36,33.89,33.89,33.89,0,0,0
2025-03-04 11:00:00,5,69.63333333333334,61.96,75.62,3.5500000000000003,2.42,4.4,51.43,28.19,72.49,0,0,0
2025-03-04 11:00:00,6,73.91,73.91,73.91,3.1,3.1,3.1,54.26,54.26,54.26,0,0,0
2025-03-04 11:00:00,7,64.96,64.96,64.96,3.53,3.53,3.53,51.81,51.81,51.81,0,0,0
2025-03-04 12:00:00,1,63.72,62.07,65.37,3.475,2.46,4.49,50.82,46.53,55.11,0,0,0
2025-03-04 12:00:00,10,81.46000000000001,80.65,82.27,1.32,1.31,1.33,49.915,39.55,60.28,0,0,0
2025-03-04 12:00:00,12,89.1,89.1,89.1,2.83,2.83,2.83,62.28,62.28,62.28,0,0,0
2025-03-04 12:00:00,13,66.5,66.5,66.5,1.12,1.12,1.12,75.03,75.03,75.03,0,0,0
2025-03-04 12:00:00,14,83.53,83.53,83.53,1.27,1.27,1.27,71.85,71.85,71.85,0,0,0
2025-03-04 12:00:00,15,88.83,88.83,88.83,1.34,1.34,1.34,41.01,41.01,41.01,0,0,0
2025-03-04 12:00:00,18,74.53666666666668,66.61,81.29,4.153333333333333,3.39,4.79,44.330000000000005,42.7,47.04,0,0,0
2025-03-04 12:00:00,19,71.7,69.78,73.62,3.315,2.5,4.13,46.32,35.51,57.13,0,0,0
2025-03-04 12:00:00,2,70.15,70.15,70.15,3.23,3.23,3.23,25.08,25.08,25.08,0,0,0
2025-03-04 12:00:00,21,72.94,72.94,72.94,1.46,1.46,1.46,59.71,59.71,59.71,0,0,0
2025-03-04 12:00:00,22,83.005,80.33,85.68,4.05,3.33,4.77,49.21,37.78,60.64,0,0,0
2025-03-04 12:00:00,24,76.24,76.24,76.24,3.29,3.29,3.29,31.69,31.69,31.69,0,0,0
2025-03-04 12:00:00,25,69.395,54.8,83.99,3.3449999999999998,2.69,4.0,40.445,23.11,57.78,0,0,0
2025-03-04 12:00:00,26,87.77,87.77,87.77,4.01,4.01,4.01,66.9,66.9,66.9,0,0,0
2025-03-04 12:00:00,27,82.72666666666667,67.72,98.36,2.64,1.85,3.18,49.93333333333334,37.22,59.91,0,0,0
2025-03-04 12:00:00,28,88.8,88.8,88.8,4.17,4.17,4.17,61.31,61.31,61.31,0,0,0
2025-03-04 12:00:00,29,69.08000000000001,67.93,70.23,3.005,2.01,4.0,45.29,28.18,62.4,0,0,0
2025-03-04 12:00:00,3,77.8,76.88,78.72,3.62,3.35,3.89,56.540000000000006,43.43,69.65,0,0,0
